CUS_CUST_ID,registration_date,sit_site_id,cus_nickname,flag_ca,flag_mia,flag_up,flag_trusted_seller,flag_gmv_high,flag_gmv_low,flag_tpv_high,flag_tpv_low,flag_repu_ml,flag_repu_glg,flag_repu_yor,last_transaction,tpv_approved,gmv_not_refund,count_orders,cashout,gmv_claims_seller,count_claims_seller,flag_on_final,activo,tpv_nulo,gmv_nulo,cluster
156936525,2014-04-09,MLA   ,GEO BAZAR,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-07-03,0,0,0.0,0,0.0,0.0,1,0,1,1,1
9293451,2002-05-06,MLA   ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
261213087,2017-06-19,MLB   ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
178038141,2015-02-26,MLB   ,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
276871765,2017-10-05,MLA   ,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021-03-21,1738478,0,0.0,0,0.0,0.0,0,1,0,1,1
171910422,2014-11-28,MLB   ,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-09,0,0,0.0,0,0.0,0.0,0,1,1,1,1
232101992,2016-10-21,MLB   ,BAVERAHM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020-05-01,0,0,0.0,0,0.0,0.0,1,0,1,1,1
222568987,2016-07-25,MLA   ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
445151145,2019-06-18,MLB   ,EPINET2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-10-24,0,0,0.0,0,0.0,0.0,1,0,1,1,1
247752781,2017-03-20,MLV   ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
278992390,2017-10-18,MLM   ,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,1,1,1
